Departure_Hour,Flight_Distance_km,Departing_Flights,Airline,Runways_Available,Weather,Aircraft_Weight_kg,Taxi_Out_Time
6,1882.0,12.0,airline_a,2, Clear ,138340,33.2
19,2405.0,42.0, Airline_B ,1,Rainy,144439,43.74
14,596.0,15.0,Airline_B,3,Rainy,191214,19.92
10,995.0,59.0,Airline_B,3,Clear,165053,33.44
7,2307.0,19.0,AIRLINE_A,4,Rainy,98355,41.21
20,951.0,14.0,Airline A,1,Rainy,190938,22.69
6,1787.0,32.0,AIRLINE_A,2, Clear ,175426,34.51
18,2031.0,19.0,Airline_B,4,Rainy,114027,34.8
22,2837.0,,Airline_B,4, clear ,142601,41.03
10,2527.0,11.0,AIRLINE_A,4, CLEAR ,79956,35.73
10,1668.0,22.0,Airline_B,2,Rainy,154797,35.11
23,1056.0,49.0,airline_a,4,Rainy,174917,27.95
20,2838.0,11.0,AIRLINE_A,2,Rainy,176303,35.74
3,1736.0,93.0,Airline_B,4,clear,186511,51.14
7,1391.0,74.0, Airline A ,2,CLEAR,92533,39.12
23,1540.0,72.0,Airline_B,3,Rainy,128815,34.52
2,1291.0,82.0,AIRLINE_A,3, Rainy ,89279,45.58
21,1166.0,26.0,Airline_B,3, Rainy ,159787,27.42
20,384.0,18.0, Airline_B ,3,Rainy,198702,14.26
1,2544.0,84.0,Airline_B,3,CLEAR,111063,57.08
23,111.0,24.0, AIRLINE_A ,4,Rainy,177896,9.93
11,1730.0,33.0,AIRLINE_A,4,Clear,147661,31.7
5,2646.0,47.0,Airline_B,4,CLEAR,188051,51.01
1,853.0,44.0,Airline_B,2, Rainy ,173257,34.92
20,2182.0,58.0,airline_a,2,Rainy,136205,42.52
0,,78.0,Airline A,2,Rainy,56910,63.0
11,2996.0,71.0, airline_a ,2,clear,96857,52.12
21,189.0,69.0, Airline_B ,3,Rainy,84964,22.94
11,875.0,59.0,airline_a,3,Rainy,187050,30.71
16,2752.0,87.0,airline_a,3,clear,67153,49.52
9,,84.0,Airline_B,1,Rainy,109765,48.58
15,517.0,18.0, airline_a ,4,clear,158212,15.24
14,214.0,43.0,airline_a,2,Rainy,89071,19.8
14,716.0,85.0, Airline A ,2,CLEAR,162990,28.84
18,925.0,44.0, Airline_B ,3,Rainy,119519,27.71
11,1749.0,10.0,Airline_B,2, Rainy ,59503,31.79
22,1616.0,49.0,Airline_B,2,clear,145457,30.17
19,512.0,73.0, Airline_B ,4,CLEAR,197977,26.18
2,828.0,31.0,Airline_B,3,Rainy,95838,28.23
4,2908.0,69.0, Airline_B ,4,clear,175200,54.08
18,775.0,,Airline_B,1,clear,139489,32.29
6,1992.0,81.0,AIRLINE_A,1,CLEAR,76806,46.36
20,2604.0,20.0, airline_a ,1,clear,120119,30.26
